condition;iter;t;dt;mu;density;consistent;mu_diff
1;20900;0.0139075;2.48662e-07;0.459141;1;1;0
1;21000;0.0139308;9.94646e-08;0.459207;1;1;0
1;21100;0.0139461;1.98929e-07;0.45925;1;1;0
1;21200;0.0139719;7.95717e-08;0.459322;1;1;0
1;21300;0.013981;1.59143e-07;0.459348;1;1;0
1;21400;0.0139991;3.18287e-07;0.459399;1;1;0
1;21500;0.0140287;1.27315e-07;0.459481;1;1;0
1;21600;0.0140429;2.54629e-07;0.459521;1;1;0
1;21700;0.0140714;5.09259e-07;0.459601;1;1;0
1;21800;0.0140864;1.01852e-07;0.459643;1;1;0
1;21900;0.0141054;2.03704e-07;0.459696;1;1;0
1;22000;0.0141435;4.07407e-07;0.459802;1;1;0
1;22100;0.0141629;1.62963e-07;0.459856;1;1;0
1;22200;0.0141932;3.25926e-07;0.45994;1;1;0
1;22300;0.0142093;1.3037e-07;0.459985;1;1;0
1;22400;0.0142333;2.60741e-07;0.460051;1;1;0
1;22500;0.0142557;1.04296e-07;0.460113;1;1;0
1;22600;0.0142724;2.08592e-07;0.460159;1;1;0
1;22700;0.0142997;8.3437e-08;0.460234;1;1;0
1;22800;0.0143095;1.66874e-07;0.460261;1;1;0
1;22900;0.014329;3.33748e-07;0.460315;1;1;0
1;23000;0.0143588;1.33499e-07;0.460397;1;1;0
1;23100;0.0143743;2.66998e-07;0.460439;1;1;0
1;23200;0.0144053;5.33997e-07;0.460524;1;1;0
1;23300;0.0144184;1.06799e-07;0.46056;1;1;0
1;23400;0.014439;2.13599e-07;0.460617;1;1;0
1;23500;0.0144593;8.54395e-08;0.460672;1;1;0
1;23600;0.014473;1.70879e-07;0.460709;1;1;0
1;23700;0.0145003;3.41758e-07;0.460784;1;1;0
1;23800;0.0145221;1.36703e-07;0.460843;1;1;0
1;23900;0.0145438;2.73406e-07;0.460902;1;1;0
1;24000;0.0145684;1.09363e-07;0.460969;1;1;0
1;24100;0.0145839;2.18725e-07;0.461011;1;1;0
1;24200;0.0146121;8.749e-08;0.461087;1;1;0
1;24300;0.0146214;1.7498e-07;0.461112;1;1;0
1;24400;0.0146402;3.4996e-07;0.461163;1;1;0
1;24500;0.0146735;1.39984e-07;0.461253;1;1;0
1;24600;0.0146884;2.79968e-07;0.461293;1;1;0
1;24700;0.0147181;5.59936e-07;0.461373;1;1;0
1;24800;0.0147314;1.11987e-07;0.461409;1;1;0
1;24900;0.0147531;2.23974e-07;0.461467;1;1;0
1;25000;0.0147735;8.95898e-08;0.461522;1;1;0
1;25100;0.0147881;1.7918e-07;0.461561;1;1;0
1;25200;0.0148173;3.58359e-07;0.461639;1;1;0
1;25300;0.0148395;1.43344e-07;0.461699;1;1;0
1;25400;0.0148627;2.86687e-07;0.461761;1;1;0
1;25500;0.0148834;1.14675e-07;0.461816;1;1;0
1;25600;0.0149011;2.2935e-07;0.461863;1;1;0
1;25700;0.0149263;9.17399e-08;0.46193;1;1;0
1;25800;0.014938;1.8348e-07;0.461961;1;1;0
1;25900;0.0149613;3.6696e-07;0.462023;1;1;0
1;26000;0.0149925;1.46784e-07;0.462106;1;1;0
1;26100;0.0150108;2.93568e-07;0.462154;1;1;0
1;26200;0.0150356;1.17427e-07;0.46222;1;1;0
1;26300;0.0150502;2.34854e-07;0.462259;1;1;0
1;26400;0.0150793;4.69709e-07;0.462335;1;1;0
1;26500;0.015089;9.39417e-08;0.462361;1;1;0
1;26600;0.0151076;1.87883e-07;0.46241;1;1;0
1;26700;0.0151276;7.51534e-08;0.462463;1;1;0
1;26800;0.0151393;1.50307e-07;0.462494;1;1;0
1;26900;0.0151628;3.00613e-07;0.462555;1;1;0
1;27000;0.0151831;1.20245e-07;0.462609;1;1;0
1;27100;0.0152016;2.40491e-07;0.462657;1;1;0
1;27200;0.0152266;9.61963e-08;0.462723;1;1;0
1;27300;0.0152391;1.92393e-07;0.462755;1;1;0
1;27400;0.0152641;3.84785e-07;0.462821;1;1;0
1;27500;0.0152736;7.6957e-08;0.462846;1;1;0
1;27600;0.0152884;1.53914e-07;0.462884;1;1;0
1;27700;0.0153181;3.07828e-07;0.462962;1;1;0
1;27800;0.0153316;1.23131e-07;0.462997;1;1;0
1;27900;0.0153553;2.46263e-07;0.463058;1;1;0
1;28000;0.0153753;9.8505e-08;0.46311;1;1;0
1;28100;0.0153918;1.9701e-07;0.463153;1;1;0
1;28200;0.0154138;7.8804e-08;0.463211;1;1;0
1;28300;0.0154244;1.57608e-07;0.463238;1;1;0
1;28400;0.0154455;3.15216e-07;0.463293;1;1;0
1;28500;0.0154704;1.26086e-07;0.463357;1;1;0
1;28600;0.0154872;2.52173e-07;0.463401;1;1;0
1;28700;0.0155166;1.00869e-07;0.463477;1;1;0
1;28800;0.0155276;2.01738e-07;0.463505;1;1;0
1;28900;0.0155496;4.03477e-07;0.463562;1;1;0
1;29000;0.015565;8.06953e-08;0.463601;1;1;0
1;29100;0.0155792;1.61391e-07;0.463638;1;1;0
1;29200;0.0156076;3.22781e-07;0.463711;1;1;0
1;29300;0.0156251;1.29112e-07;0.463756;1;1;0
1;29400;0.0156477;2.58225e-07;0.463814;1;1;0
1;29500;0.0156688;1.0329e-07;0.463868;1;1;0
1;29600;0.015685;2.0658e-07;0.463909;1;1;0
1;29700;0.0157094;8.2632e-08;0.463972;1;1;0
1;29800;0.0157196;1.65264e-07;0.463998;1;1;0
1;29900;0.0157399;3.30528e-07;0.46405;1;1;0
1;30000;0.0157688;1.32211e-07;0.464123;1;1;0
1;30100;0.0157848;2.64422e-07;0.464164;1;1;0
1;30200;0.0158129;1.05769e-07;0.464236;1;1;0
1;30300;0.0158243;2.11538e-07;0.464265;1;1;0
1;30400;0.0158471;4.23076e-07;0.464323;1;1;0
1;30500;0.0158619;8.46152e-08;0.46436;1;1;0
1;30600;0.0158772;1.6923e-07;0.464399;1;1;0
1;30700;0.0159076;3.38461e-07;0.464476;1;1;0
1;30800;0.0159256;1.35384e-07;0.464522;1;1;0
1;30900;0.0159497;2.70769e-07;0.464583;1;1;0
1;31000;0.0159666;1.08307e-07;0.464625;1;1;0
1;31100;0.0159852;2.16615e-07;0.464672;1;1;0
1;31200;0.0160069;8.66459e-08;0.464727;1;1;0
1;31300;0.0160193;1.73292e-07;0.464758;1;1;0
1;31400;0.016044;3.46584e-07;0.46482;1;1;0
1;31500;0.0160509;6.93167e-08;0.464838;1;1;0
1;31600;0.0160647;1.38633e-07;0.464872;1;1;0
1;31700;0.0160923;2.77267e-07;0.464942;1;1;0
1;31800;0.0161043;1.10907e-07;0.464972;1;1;0
1;31900;0.016126;2.21814e-07;0.465026;1;1;0
1;32000;0.0161446;8.87254e-08;0.465073;1;1;0
1;32100;0.0161596;1.77451e-07;0.46511;1;1;0
1;32200;0.0161813;7.09803e-08;0.465165;1;1;0
1;32300;0.0161904;1.41961e-07;0.465187;1;1;0
1;32400;0.0162085;2.83921e-07;0.465233;1;1;0
1;32500;0.0162325;1.13569e-07;0.465292;1;1;0
1;32600;0.0162468;2.27137e-07;0.465328;1;1;0
1;32700;0.0162746;9.08548e-08;0.465397;1;1;0
1;32800;0.0162838;1.8171e-07;0.46542;1;1;0
1;32900;0.0163021;3.63419e-07;0.465466;1;1;0
1;33000;0.0163204;7.26839e-08;0.465511;1;1;0
1;33100;0.0163321;1.45368e-07;0.46554;1;1;0
1;33200;0.0163555;2.90735e-07;0.465598;1;1;0
1;33300;0.0163743;1.16294e-07;0.465645;1;1;0
1;33400;0.0163928;2.32588e-07;0.465691;1;1;0
1;33500;0.0164162;9.30354e-08;0.465749;1;1;0
1;33600;0.0164288;1.86071e-07;0.46578;1;1;0
1;33700;0.0164539;3.72141e-07;0.465842;1;1;0
1;33800;0.0164613;7.44283e-08;0.46586;1;1;0
1;33900;0.0164761;1.48857e-07;0.465897;1;1;0
1;34000;0.0165057;2.97713e-07;0.46597;1;1;0
1;34100;0.0165182;1.19085e-07;0.466001;1;1;0
1;34200;0.0165416;2.38171e-07;0.466058;1;1;0
1;34300;0.0165599;9.52682e-08;0.466103;1;1;0
1;34400;0.0165765;1.90536e-07;0.466144;1;1;0
1;34500;0.0165976;7.62146e-08;0.466196;1;1;0
1;34600;0.0166082;1.52429e-07;0.466222;1;1;0
1;34700;0.0166292;3.04858e-07;0.466273;1;1;0
1;34800;0.0166531;1.21943e-07;0.466332;1;1;0
1;34900;0.0166697;2.43887e-07;0.466372;1;1;0
1;35000;0.0166965;9.75546e-08;0.466438;1;1;0
1;35100;0.0167077;1.95109e-07;0.466465;1;1;0
1;35200;0.0167302;3.90219e-07;0.46652;1;1;0
1;35300;0.0167435;7.80437e-08;0.466553;1;1;0
1;35400;0.0167576;1.56087e-07;0.466587;1;1;0
1;35500;0.0167859;3.12175e-07;0.466655;1;1;0
1;35600;0.0168023;1.2487e-07;0.466696;1;1;0
1;35700;0.0168247;2.4974e-07;0.46675;1;1;0
1;35800;0.0168437;9.9896e-08;0.466796;1;1;0
1;35900;0.01686;1.99792e-07;0.466836;1;1;0
1;36000;0.0168813;7.99168e-08;0.466887;1;1;0
1;36100;0.016892;1.59834e-07;0.466913;1;1;0
1;36200;0.0169134;3.19667e-07;0.466965;1;1;0
1;36300;0.0169392;1.27867e-07;0.467028;1;1;0
1;36400;0.0169561;2.55734e-07;0.467068;1;1;0
1;36500;0.0169803;1.02293e-07;0.467127;1;1;0
1;36600;0.0169928;2.04587e-07;0.467157;1;1;0
1;36700;0.0170178;4.09174e-07;0.467217;1;1;0
1;36800;0.0170275;8.18348e-08;0.467241;1;1;0
1;36900;0.0170434;1.6367e-07;0.467279;1;1;0
1;37000;0.0170751;3.27339e-07;0.467355;1;1;0
1;37100;0.0170893;1.30936e-07;0.467389;1;1;0
1;37200;0.0171146;2.61871e-07;0.46745;1;1;0
1;37300;0.0171285;1.04748e-07;0.467483;1;1;0
1;37400;0.017148;2.09497e-07;0.46753;1;1;0
1;37500;0.0171671;8.37988e-08;0.467576;1;1;0
1;37600;0.0171804;1.67598e-07;0.467607;1;1;0
1;37700;0.0172022;6.7039e-08;0.467659;1;1;0
1;37800;0.01721;1.34078e-07;0.467678;1;1;0
1;37900;0.0172256;2.68156e-07;0.467715;1;1;0
1;38000;0.0172506;1.07262e-07;0.467775;1;1;0
1;38100;0.0172627;2.14525e-07;0.467804;1;1;0
1;38200;0.0172869;4.2905e-07;0.467861;1;1;0
1;38300;0.0172995;8.581e-08;0.467891;1;1;0
1;38400;0.0173156;1.7162e-07;0.467929;1;1;0
1;38500;0.0173347;6.8648e-08;0.467975;1;1;0
1;38600;0.0173447;1.37296e-07;0.467999;1;1;0
1;38700;0.0173648;2.74592e-07;0.468046;1;1;0
1;38800;0.017385;1.09837e-07;0.468094;1;1;0
1;38900;0.0174008;2.19674e-07;0.468131;1;1;0
1;39000;0.0174253;8.78694e-08;0.468189;1;1;0
1;39100;0.0174358;1.75739e-07;0.468214;1;1;0
1;39200;0.0174567;3.51478e-07;0.468264;1;1;0
1;39300;0.0174687;7.02955e-08;0.468292;1;1;0
1;39400;0.0174814;1.40591e-07;0.468322;1;1;0
1;39500;0.0175069;2.81182e-07;0.468382;1;1;0
1;39600;0.0175212;1.12473e-07;0.468416;1;1;0
1;39700;0.0175414;2.24946e-07;0.468463;1;1;0
1;39800;0.0175613;8.99783e-08;0.46851;1;1;0
1;39900;0.0175754;1.79957e-07;0.468543;1;1;0
1;40000;0.0175967;7.19826e-08;0.468593;1;1;0
1;40100;0.0176055;1.43965e-07;0.468614;1;1;0
1;40200;0.0176231;2.8793e-07;0.468655;1;1;0
1;40300;0.017648;1.15172e-07;0.468714;1;1;0
1;40400;0.0176619;2.30344e-07;0.468746;1;1;0
1;40500;0.0176898;4.60689e-07;0.468811;1;1;0
1;40600;0.0176993;9.21378e-08;0.468834;1;1;0
1;40700;0.0177175;1.84276e-07;0.468876;1;1;0
1;40800;0.0177351;7.37102e-08;0.468917;1;1;0
1;40900;0.0177471;1.4742e-07;0.468945;1;1;0
1;41000;0.0177711;2.94841e-07;0.469001;1;1;0
1;41100;0.0177898;1.17936e-07;0.469045;1;1;0
1;41200;0.0178088;2.35873e-07;0.469089;1;1;0
1;41300;0.0178312;9.43491e-08;0.469141;1;1;0
1;41400;0.0178444;1.88698e-07;0.469172;1;1;0
1;41500;0.017868;7.54792e-08;0.469227;1;1;0
1;41600;0.0178762;1.50958e-07;0.469246;1;1;0
1;41700;0.0178925;3.01917e-07;0.469284;1;1;0
1;41800;0.0179211;1.20767e-07;0.46935;1;1;0
1;41900;0.017934;2.41534e-07;0.46938;1;1;0
1;42000;0.0179599;4.83067e-07;0.46944;1;1;0
1;42100;0.0179733;9.66134e-08;0.469471;1;1;0
1;42200;0.0179916;1.93227e-07;0.469513;1;1;0
1;42300;0.0180098;7.72908e-08;0.469555;1;1;0
1;42400;0.018022;1.54582e-07;0.469583;1;1;0
1;42500;0.0180464;3.09163e-07;0.469639;1;1;0
1;42600;0.0180664;1.23665e-07;0.469686;1;1;0
1;42700;0.0180858;2.4733e-07;0.46973;1;1;0
1;42800;0.0181064;9.89322e-08;0.469778;1;1;0
1;42900;0.0181207;1.97864e-07;0.469811;1;1;0
1;43000;0.0181443;7.91457e-08;0.469865;1;1;0
1;43100;0.0181534;1.58291e-07;0.469886;1;1;0
1;43200;0.0181716;3.16583e-07;0.469927;1;1;0
1;43300;0.0182002;1.26633e-07;0.469993;1;1;0
1;43400;0.0182147;2.53266e-07;0.470026;1;1;0
1;43500;0.0182406;1.01307e-07;0.470086;1;1;0
1;43600;0.0182514;2.02613e-07;0.47011;1;1;0
1;43700;0.0182728;4.05226e-07;0.470159;1;1;0
1;43800;0.018288;8.10452e-08;0.470194;1;1;0
1;43900;0.0183023;1.6209e-07;0.470227;1;1;0
1;44000;0.0183229;6.48362e-08;0.470274;1;1;0
1;44100;0.0183313;1.29672e-07;0.470293;1;1;0
1;44200;0.0183482;2.59345e-07;0.470331;1;1;0
1;44300;0.0183706;1.03738e-07;0.470382;1;1;0
1;44400;0.0183837;2.07476e-07;0.470412;1;1;0
1;44500;0.0184098;4.14952e-07;0.470471;1;1;0
1;44600;0.018418;8.29903e-08;0.47049;1;1;0
1;44700;0.0184346;1.65981e-07;0.470528;1;1;0
1;44800;0.0184519;6.63922e-08;0.470567;1;1;0
1;44900;0.0184623;1.32784e-07;0.470591;1;1;0
1;45000;0.0184833;2.65569e-07;0.470638;1;1;0
1;45100;0.0185005;1.06228e-07;0.470677;1;1;0
1;45200;0.0185172;2.12455e-07;0.470715;1;1;0
1;45300;0.0185399;8.49821e-08;0.470767;1;1;0
1;45400;0.018551;1.69964e-07;0.470792;1;1;0
1;45500;0.0185731;3.39928e-07;0.470841;1;1;0
1;45600;0.0185814;6.79857e-08;0.47086;1;1;0
1;45700;0.0185946;1.35971e-07;0.47089;1;1;0
1;45800;0.0186208;2.71943e-07;0.470949;1;1;0
1;45900;0.0186327;1.08777e-07;0.470976;1;1;0
1;46000;0.0186536;2.17554e-07;0.471023;1;1;0
1;46100;0.0186713;8.70216e-08;0.471063;1;1;0
1;46200;0.0186859;1.74043e-07;0.471096;1;1;0
1;46300;0.0187059;6.96173e-08;0.471141;1;1;0
1;46400;0.0187151;1.39235e-07;0.471161;1;1;0
