;S;PSU;Met;Ribosome
73;0.7827891341321114;0.23184243846848904;0.9752170559321084;0.9973300174525136
74;0.7827782450536765;0.2318531240127475;0.9752662856562451;0.9973819575541828
75;0.7827673807658504;0.23186378522977324;0.9753153974556161;0.9974337193274985
76;0.7827565309144271;0.2318744322802353;0.9753644379169059;0.9974853527233957
77;0.7827457022037124;0.23188505858514222;0.9754133770339715;0.9975368292270063
78;0.7827349927070129;0.23189556790433338;0.9754617745611192;0.997587700398247
79;0.7827243938295411;0.23190596867194593;0.9755096691815391;0.9976380078834757
80;0.7827141599587097;0.23191601125547198;0.9755559188127642;0.9976865848421788
81;0.7827048997019068;0.23192509842336267;0.9755977909608681;0.9977306367722192
82;0.782695482612009;0.23193433949288858;0.9756403613144004;0.9977753600414706
83;0.7826861551036712;0.23194349265527617;0.9756825235853098;0.9978196242185096
84;0.7826768514198635;0.23195262243845194;0.9757245731047299;0.9978637332257982
85;0.7826675302900499;0.23196176934154009;0.9757666952768906;0.9979078784132807
86;0.7826583013671118;0.23197082576124567;0.9758083978106498;0.9979515575409933
87;0.7826491229605181;0.23197983260883764;0.9758498680315603;0.9979949638020437
88;0.7826399042000305;0.23198887905604507;0.9758915140030883;0.9980385162169179
89;0.7826308681936314;0.2319977461651284;0.9759323340838898;0.9980811911339715
90;0.7826218191107713;0.23200662610625267;0.9759732076167824;0.9981238897379042
91;0.7826139192043259;0.23201437835089536;0.9760089163122079;0.9981612732701589
92;0.7826060045230138;0.23202214509423896;0.9760446862609061;0.9981986909881977
93;0.782598072454342;0.23202992889994498;0.9760805292768955;0.99823615612057
94;0.7825901425201839;0.2320377106110347;0.9761163577932443;0.9982735801520155
95;0.7825822226530861;0.2320454824432335;0.9761521362781208;0.9983109277689783
96;0.7825743914396512;0.23205316727884714;0.9761875119694419;0.9983478389955718
97;0.7825665445206497;0.23206086752646551;0.9762229535110593;0.9983847943533818
98;0.7825588440114604;0.2320684241009036;0.9762577331088751;0.998421050017722
99;0.7825513529618664;0.23207577513087893;0.9762915677609942;0.9984563172810857
100;0.7825446708928343;0.23208233230142453;0.976321765788181;0.9984878426583903
101;0.7825378755890937;0.23208900059014187;0.9763524678873731;0.99851986405582
102;0.7825311049563346;0.23209564466901764;0.9763830549614341;0.9985517487224719
103;0.7825243982114517;0.23210222605418318;0.9764133510116054;0.9985833172932483
104;0.7825177002293594;0.23210879884034852;0.9764436036196428;0.9986148238027044
105;0.7825109794650422;0.23211539398290268;0.9764739544946665;0.9986464139230443
106;0.7825043014970514;0.23212194712906184;0.9765041092765195;0.9986777870800922
107;0.7824982231414754;0.23212791187051499;0.9765315680307426;0.9987063858283812
108;0.7824922694327026;0.23213375429501168;0.9765584633523583;0.9987343929399425
109;0.7824863587249467;0.23213955452224885;0.9765851618919784;0.9987621841425806
110;0.7824805314472351;0.23214527287888173;0.9766114822040973;0.9987895743031703
111;0.782474769167109;0.23215092745283714;0.9766375071202246;0.9988166486840265
112;0.7824689992796742;0.23215658949190873;0.976663562695007;0.9988437413973528
113;0.78246333069483;0.23216215212189606;0.9766891600132673;0.9988703526338512
114;0.7824580100354291;0.23216737332971926;0.9767131918577003;0.9988953499022454
115;0.7824528223855716;0.23217246401415886;0.9767366232302507;0.9989197210486566
116;0.7824476784941437;0.23217751175808357;0.9767598549192351;0.9989438765746149
117;0.782442618301824;0.23218247736736922;0.9767827076662224;0.9989676334458756
118;0.7824376525690153;0.23218735028274218;0.9768051332256458;0.9989909426683408
119;0.7824327558618906;0.23219215546263094;0.9768272458554016;0.9990139215077777
120;0.7824279553676053;0.23219686622805102;0.9768489235553127;0.9990364454727103
121;0.7824234419297031;0.23220129530262806;0.9768693095444427;0.9990576382257406
122;0.7824189235048192;0.2322057292709721;0.9768897150946677;0.9990788417851846
123;0.7824144697180987;0.23221009980934257;0.9769098276676057;0.9990997366583244
124;0.7824100738677504;0.23221441349426386;0.9769296774105551;0.999120353978706
125;0.7824057435163158;0.2322186629045502;0.9769492303856835;0.9991406592984589
126;0.7824015028985105;0.23222282425847116;0.9769683779732655;0.9991605417378786
127;0.7823974896722161;0.23222676247119003;0.9769865020519221;0.9991793690983365
128;0.7823935768872069;0.23223060212003083;0.9770041726966215;0.9991977249229343
129;0.7823896936367216;0.2322344127863949;0.977021708315349;0.9992159352386455
130;0.7823858549376498;0.23223817973408217;0.9770390415396283;0.9992339313393082
131;0.7823820541983336;0.23224190943154197;0.977056202016693;0.9992517437756459
132;0.7823783145458365;0.23224557918399244;0.9770730859639182;0.9992692665677619
133;0.782374751057973;0.23224907606460604;0.9770891767660913;0.999285971323505
134;0.7823712635422939;0.23225249839307624;0.9771049243096979;0.9993023185544802
135;0.782367861111114;0.23225583722741172;0.977120287732147;0.9993182666376169
136;0.782364525265501;0.23225911072077024;0.9771353501363806;0.9993339007817252
137;0.7823612545248653;0.232262320326067;0.9771501182168545;0.9993492280095395
138;0.7823580206156541;0.232265493788377;0.9771647189588363;0.9993643784159986
