;rho;x_C;x_PSU;condition;mu;density;consistent;converged;run_time;S_q;PSU_q;Met_q;Ribosome_q;S_v;PSU_v;Met_v;Ribosome_v;S_p;PSU_p;Met_p;Ribosome_p;C_b;e_b;A_b;Protein_b;C_c;e_c;A_c;Protein_c
13;385.67;0.000525;583.3534857098239;14;0.1082614536926268;1.0;1;1;0.018079;0.7834090728444476;0.2312340873956357;0.9723944712072178;0.9941330280818405;32.709831662312794;9.65476190598266;40.60057582313356;41.508230023982605;9.696746723144567;199.96410045954156;51.29550264577687;122.45093511186045;0.0054934958786732;2.01878456237e-05;0.0003532881938624;0.9941330280818405;2.118676555527895;0.0077858464216994;0.136252657726946;383.40728494032334
14;385.67;0.000525;555.5747482950703;15;0.1085722469564451;1.0;1;1;0.017472;0.7834027199829309;0.2312403215120772;0.972424196802788;0.9941742675537828;32.8034679101288;9.682739506462996;40.718375263680535;41.629117248261394;9.724528872917022;204.8548320384596;51.445324326875166;117.39850452921561;0.0054633625407005;1.96791553164e-05;0.0003426907501999;0.9941742675537828;2.107055031071988;0.0075896598309068;0.1321655416296309;383.4231897674674
15;385.67;0.000525;529.1188079000669;16;0.1087502627354703;1.0;1;1;0.015386;0.7833960627071622;0.2312468543527848;0.9724552642393915;0.994216615765896;32.85697347697708;9.698889389164618;40.786440404416794;41.69914878267782;9.74041515311357;209.7308993295858;51.532367682128445;112.4358400376053;0.0054318513156489;1.91818723841e-05;0.0003323510460708;0.994216615765896;2.0949020969063263;0.0073978727224075;0.1281778279381554;383.4395222024331
16;385.67;0.000525;503.9226741905399;17;0.1087946114415703;1.0;1;1;0.0152169999999999;0.7833891980084818;0.2312535907393405;0.9724872225553401;0.9942596149892624;32.870084621550895;9.703127278195277;40.804414178844645;41.71795802593365;9.744327120174415;214.5857292037604;51.55616511213164;107.56988427684249;0.0053994199642095;1.86993695778e-05;0.00032226567695;0.9942596149892624;2.082394297596702;0.0072117858651073;0.1242882036293218;383.4561057129089
17;385.67;0.000525;479.9263563719428;18;0.1087050706476068;1.0;1;1;0.015325;0.7833820743935119;0.2312605812026287;0.9725203200715518;0.9943035237192244;32.84273303479746;9.695434422328596;40.77221867471708;41.68546390386917;9.736244632113658;219.4129839472837;51.51662395554096;102.80718745785497;0.0053658183362703;1.82277317507e-05;0.0003124302127543;0.9943035237192244;2.0694351577493926;0.0070298893043302;0.1204949601529893;383.4730399927933
18;385.67;0.000525;457.0727203542312;19;0.1084820872786025;1.0;1;1;0.0172609999999999;0.7833748719301187;0.2312676490405378;0.9725537436396456;0.9943475121844167;32.775062407629235;9.675842182037057;40.68998226101679;41.60179619550309;9.716210139532803;224.20624959878424;51.41387820767618;98.15366707817081;0.0053318770184023;1.77679600764e-05;0.0003028428371043;0.9943475121844167;2.056345009687223;0.0068525691626687;0.1167973969860368;383.4900050241641
19;385.67;0.000525;435.3073527183154;20;0.1081267731169955;1.0;1;1;0.018714;0.783367465384036;0.2312749171465069;0.9725880563754437;0.994392162313905;32.66740454322584;9.644453737202584;40.55814020301516;41.46739873221114;9.684321923037594;228.95956835193329;51.248491758970225;93.61484320566262;0.005297020283681;1.73197338999e-05;0.000293497668514;0.994392162313905;2.042901812807276;0.0066797017731801;0.1131932458158149;383.50722523960377
20;385.67;0.000525;414.5784311603004;21;0.107640892615678;1.0;1;1;0.019411;0.7833598438779951;0.2312823961944909;0.9726233079017504;0.9944375290627538;32.52029328160664;9.601425722670829;40.377350808420495;41.28294339835181;9.64073815134494;233.6670844994296;51.02129461793383;89.19560456492397;0.0052611975565948;1.68827847048e-05;0.0002843905959465;0.9944375290627538;2.029086061651925;0.0065111835771365;0.1096809211387011;383.5247218336322
21;385.67;0.000525;394.836601105048;22;0.1070268441229484;1.0;1;1;0.0257719999999999;0.7833519712236757;0.2312901216963931;0.972659661476454;0.9944837838272343;32.334452979103645;9.546972292468718;40.14851464476756;41.049349880886496;9.58567346983078;238.32320372888157;50.73342640233864;84.90025730759862;0.0052242420425123;1.64568404284e-05;0.0002755172898245;0.9944837838272343;2.0148334285357468;0.0063469096480271;0.1062587531666365;383.5425609086496
22;385.67;0.000525;376.0348581952838;23;0.1062876343533775;1.0;1;1;0.020709;0.7833439219041354;0.2312980205613625;0.9726967834193342;0.9945305882700805;32.11079640002135;9.481357342915327;39.87273979915592;40.76775007828835;9.51939837304027;242.92248200264444;50.386272993774554;80.73245860866265;0.0051864951686679;1.60416726627e-05;0.0002668748885886;0.9945305882700805;2.0002755917001807;0.006186791895856;0.1029256382819943;383.560611978122
23;385.67;0.000525;358.1284363764607;24;0.1054268470390976;1.0;1;1;0.019019;0.7833356673770717;0.2313061207982009;0.9727348026301288;0.9945780784353666;31.850406378582168;9.40490041765173;39.551369933275126;40.439516918035594;9.442233774129484;247.45986351352047;49.98153245805111;76.69529776446673;0.0051478252729685;1.56370205613e-05;0.0002584592711035;0.9945780784353666;1.985361773025773;0.0060307297198878;0.0996799870865148;383.57892751016783
24;385.67;0.000525;341.074701310915;25;0.1044486058191746;1.0;1;1;0.0197379999999999;0.7833271803242193;0.2313144492145514;0.9727738424972536;0.9946263846167156;31.554528955138053;9.31796913067833;39.185950840076366;40.06623010316352;9.354548968450612;251.93059997909103;49.5211581282601;72.79125067932702;0.0051081063264163;1.52426292921e-05;0.0002502664275758;0.9946263846167156;1.9700433669089896;0.0058786248390934;0.0965202531231829;383.5975577551288
