Cond.,mu,density,tC,tP,tN,tAce,Resp,Ferm,Nucprod,Aaprod,Replication,Transcription,tRNAcharging,Ribosome,converged?,time_to_execute
22,0.5218053156815451,1.0,0.5474062584065201,0.22751697930342804,0.2250767622900518,1e-10,0.29964389910163247,3.044303573249077e-07,0.6263233606222051,0.21762621597594384,0.016670392979287806,0.5346289883166536,0.8427885798145897,0.7910904499952782,True,49.96629571914673
23,0.49947779889473115,1.0,0.5471422235503705,0.22764774968580748,0.22521002676382212,1e-10,0.2997234238181322,3.0072796677407414e-07,0.6267795118582609,0.21774048605295868,0.016530737045392378,0.5352818171405198,0.8443319823710839,0.7933030833156358,True,47.446553230285645
24,0.475243484378048,1.0,0.5468417698405934,0.22779655481727948,0.2253616753421271,1e-10,0.29981293676501636,2.962687854319309e-07,0.6272981495902533,0.2178686703438869,0.016369769404738565,0.5360277801456124,0.8460974809386299,0.7958307074944599,True,37.51687026023865
25,0.4492546097228783,1.0,0.5465073030779275,0.22796188885710925,0.2255308080649633,1e-10,0.2999044324228489,2.913674975767554e-07,0.6278995603524442,0.2180145118684549,0.01618215348618071,0.5368940099528071,0.8481426787194025,0.7987441218735398,True,39.087167739868164
26,0.4218106415481855,1.0,0.5461335419125031,0.22814663796760842,0.22571982011988853,1e-10,0.30000828700950016,2.8533633413730084e-07,0.628572671698886,0.21817479555664726,0.015968779166352535,0.5378693005361153,0.8504478772049194,0.8020217168426875,True,39.56810688972473
27,0.3932382584789846,1.0,0.545723042203442,0.2283493846160348,0.22592757318052312,1e-10,0.30011135226788777,2.78684864998344e-07,0.6293282144584987,0.21835099748183157,0.01572602094015558,0.5389691646945708,0.8530464970676399,0.8057033746761918,True,38.66114830970764
28,0.3639315826150679,1.0,0.5452806545829889,0.22856768941029398,0.22615165600671713,1e-10,0.3002147746724511,2.712123557995202e-07,0.6301759374534234,0.21854390214933223,0.015450924819165088,0.5402072985139282,0.855966835896465,0.8098202827988441,True,37.521538734436035
29,0.3343417747926863,1.0,0.5448198680151335,0.22879594657996838,0.22638418540489816,1e-10,0.30031945201278976,2.628968450083344e-07,0.6311119218806598,0.21875379767177974,0.01514398122119503,0.5415776411452992,0.8591965512204702,0.8143545350215718,True,41.52921915054321
30,0.30491584102507535,1.0,0.5443340516390508,0.22904265278430108,0.22662329557664812,1e-10,0.30041456127603117,2.539392356962306e-07,0.6321366266661149,0.21897669686903082,0.014803212914703516,0.5430852499872625,0.862745512372927,0.8193120150108808,True,39.00569438934326
31,0.2760915430609203,1.0,0.543784368295204,0.2292998614041553,0.2269157703006407,1e-10,0.3004976367637617,2.434825050115426e-07,0.6332382877749494,0.21920043258576447,0.014428500163482945,0.5447271917975822,0.866604736001859,0.824675065824928,True,39.329548597335815
32,0.2480372825094843,1.0,0.5434906783598642,0.22943273207232945,0.22707658956780635,1e-10,0.3002229742237275,0.0004889204340552541,0.634780686732825,0.21950810541347038,0.013962789552619072,0.5469110263741039,0.8715555173641771,0.8313130317442887,True,40.36729836463928
33,0.2201784743675357,1.0,0.5445948215066339,0.2288093046998318,0.22659587379353438,1e-10,0.2977069111129978,0.004056373726669025,0.6384984463106739,0.22021083529173033,0.01311628502375854,0.5516903096167797,0.8815450725212463,0.843647511523862,True,38.54633092880249
34,0.19435792223577286,1.0,0.5457109105110409,0.22818034197529,0.22610874751366908,1e-10,0.2951635265119645,0.007601520137078959,0.6420840928210743,0.22089325201046892,0.01229202735034236,0.5563114260576709,0.8912350932175056,0.8556410082848483,True,43.38518404960632
35,0.1136202732733808,1.0,0.5581134060067621,0.22022535997472603,0.22166123401851195,1e-10,0.26580512388592964,0.04290030325561631,0.6759357365254689,0.2265302008217064,0.005850936701845663,0.5986096684881586,0.9796047610623657,0.9657252876553463,True,38.46211338043213
36,0.1526495664659179,1.0,0.5408602134998843,0.23073948684853857,0.22840029965157715,1e-10,0.3014070804747704,6.646382669638954e-07,0.6390849235151762,0.22024678617788718,0.012218374858733609,0.5537856621583209,0.8881881540537191,0.8545967764638225,True,38.51008105278015
37,0.13329292718576305,0.9999999999999999,0.5404640804467566,0.23092277949571496,0.22861314005752834,1e-10,0.30129374006329085,2.2195069448424252e-07,0.6407003290256362,0.22054323159253533,0.01168265002444296,0.5561502046095198,0.893590198165854,0.8617788345519782,True,37.093364238739014
38,0.11587019124627372,1.0,0.5401011349901066,0.23108892043073695,0.22880994457915643,1e-10,0.3011539388274227,4.760872450970388e-07,0.6423189751171051,0.2208339780767689,0.011143699700091023,0.5585220697311121,0.8990019799743965,0.8689461332102938,True,41.542580127716064
39,0.10028615821406608,1.0,0.540069159961201,0.23107981529981272,0.22885102473898633,1e-10,0.3005687084049371,0.0025144510250498684,0.6441532056319627,0.22115263641266028,0.010583574449626591,0.5611424229617126,0.904849245227045,0.8765397340172604,True,44.33492398262024
40,0.08652578920122933,1.0,0.5394772500292695,0.23136634163701644,0.22915640833371406,1e-10,0.3008283532801112,2.1709595633357656e-07,0.6455099970029655,0.2213866545127355,0.010073890378270507,0.5632081983273854,0.9096810720317386,0.8830162794550797,True,36.50057339668274
