condition;iter;t;dt;mu;density;consistent;mu_diff
1;37200;0.0216121;5.11467e-07;0.361297;1;1;0
1;37300;0.0216474;2.04587e-07;0.361333;1;1;0
1;37400;0.0216781;4.09174e-07;0.361364;1;1;0
1;37500;0.0217217;1.6367e-07;0.361408;1;1;0
1;37600;0.0217423;3.27339e-07;0.361428;1;1;0
1;37700;0.0217835;6.54678e-07;0.36147;1;1;0
1;37800;0.0218002;1.30936e-07;0.361487;1;1;0
1;37900;0.0218253;2.61871e-07;0.361512;1;1;0
1;38000;0.0218633;1.04748e-07;0.36155;1;1;0
1;38100;0.0218767;2.09497e-07;0.361563;1;1;0
1;38200;0.0219035;4.18994e-07;0.36159;1;1;0
1;38300;0.0219503;1.67598e-07;0.361637;1;1;0
1;38400;0.0219686;3.35195e-07;0.361655;1;1;0
1;38500;0.0220051;6.7039e-07;0.361692;1;1;0
1;38600;0.0220296;1.34078e-07;0.361716;1;1;0
1;38700;0.0220535;2.68156e-07;0.36174;1;1;0
1;38800;0.0220913;1.07262e-07;0.361777;1;1;0
1;38900;0.0221044;2.14525e-07;0.36179;1;1;0
1;39000;0.0221305;4.2905e-07;0.361816;1;1;0
1;39100;0.0221772;1.7162e-07;0.361863;1;1;0
1;39200;0.0221956;3.4324e-07;0.361881;1;1;0
1;39300;0.0222323;6.8648e-07;0.361917;1;1;0
1;39400;0.022258;1.37296e-07;0.361943;1;1;0
1;39500;0.0222823;2.74592e-07;0.361967;1;1;0
1;39600;0.0223198;1.09837e-07;0.362004;1;1;0
1;39700;0.0223334;2.19674e-07;0.362017;1;1;0
1;39800;0.0223606;4.39347e-07;0.362044;1;1;0
1;39900;0.0224051;1.75739e-07;0.362088;1;1;0
1;40000;0.022425;3.51478e-07;0.362107;1;1;0
1;40100;0.0224647;7.02955e-07;0.362146;1;1;0
1;40200;0.0224887;1.40591e-07;0.36217;1;1;0
1;40300;0.0225142;2.81182e-07;0.362194;1;1;0
1;40400;0.0225492;1.12473e-07;0.362229;1;1;0
1;40500;0.0225643;2.24946e-07;0.362243;1;1;0
1;40600;0.0225944;4.49891e-07;0.362273;1;1;0
1;40700;0.0226336;1.79957e-07;0.362311;1;1;0
1;40800;0.0226567;3.59913e-07;0.362334;1;1;0
1;41000;0.0227164;1.43965e-07;0.362392;1;1;0
1;41100;0.0227452;2.8793e-07;0.36242;1;1;0
1;41200;0.0227774;1.15172e-07;0.362451;1;1;0
1;41300;0.0227951;2.30344e-07;0.362468;1;1;0
1;41400;0.0228306;4.60689e-07;0.362502;1;1;0
1;41500;0.0228623;1.84276e-07;0.362533;1;1;0
1;41600;0.0228903;3.68551e-07;0.36256;1;1;0
1;41700;0.0229308;1.4742e-07;0.362599;1;1;0
1;41800;0.0229492;2.94841e-07;0.362617;1;1;0
1;41900;0.0229861;5.89682e-07;0.362652;1;1;0
1;42000;0.0230048;1.17936e-07;0.36267;1;1;0
