condition;mu;density;run_time;converged;model;solver
131;0.00589343;1;289.19;1;newextended16;gbacpp
132;0.00567303;1;290.67;1;newextended16;gbacpp
133;0.00546359;1;295.95;1;newextended16;gbacpp
134;0.00526138;1;301.76;1;newextended16;gbacpp
135;0.00506893;1;337.67;1;newextended16;gbacpp
136;0.00487911;1;314.44;1;newextended16;gbacpp
137;0.00469416;1;319.21;1;newextended16;gbacpp
138;0.00451561;1;317.95;1;newextended16;gbacpp
139;0.00434525;1;325.26;1;newextended16;gbacpp
140;0.00418094;1;326.76;1;newextended16;gbacpp
141;0.00401911;1;326.89;1;newextended16;gbacpp
142;0.00385966;1;324.11;1;newextended16;gbacpp
143;0.00369208;1;317.18;1;newextended16;gbacpp
144;0.00354623;1;309.33;1;newextended16;gbacpp
145;0.00340415;1;300.2;1;newextended16;gbacpp
146;0.00326938;1;299.51;1;newextended16;gbacpp
147;0.00312604;1;285.7;1;newextended16;gbacpp
148;0.00300358;1;286.43;1;newextended16;gbacpp
149;0.00288233;1;282.85;1;newextended16;gbacpp
150;0.00273937;1;252.09;1;newextended16;gbacpp
151;0.002644;1;265.91;1;newextended16;gbacpp
152;0.00253657;1;260.89;1;newextended16;gbacpp
153;0.00242157;1;244.57;1;newextended16;gbacpp
154;0.00232261;1;242.38;1;newextended16;gbacpp
155;0.00222758;1;238.57;1;newextended16;gbacpp
156;0.00213;1;223.28;1;newextended16;gbacpp
157;0.00203239;1;207.93;1;newextended16;gbacpp
158;0.00195032;1;208.1;1;newextended16;gbacpp
159;0.00185277;1;216.5;1;newextended16;gbacpp
160;0.0017924;1;205.13;1;newextended16;gbacpp
161;0.00171011;1;190.87;1;newextended16;gbacpp
162;0.00163903;1;186.91;1;newextended16;gbacpp
163;0.00157245;1;185.18;1;newextended16;gbacpp
164;0.00149737;1;171.31;1;newextended16;gbacpp
165;0.00141704;1;149.53;1;newextended16;gbacpp
166;0.00136832;1;157.44;1;newextended16;gbacpp
167;0.00129318;1;135.57;1;newextended16;gbacpp
168;0.00123826;1;132.18;1;newextended16;gbacpp
169;0.00118559;1;125.19;1;newextended16;gbacpp
170;0.00111878;1;105.45;1;newextended16;gbacpp
171;0.00109116;1;122.45;1;newextended16;gbacpp
172;0.0010359;1;108.49;1;newextended16;gbacpp
173;0.000970776;1;87.22;1;newextended16;gbacpp
174;0.000942879;1;94.97;1;newextended16;gbacpp
175;0.000891343;1;80.62;1;newextended16;gbacpp
176;0.000861644;1;86.32;1;newextended16;gbacpp
177;0.000798448;1;56.19;1;newextended16;gbacpp
178;0.000778523;1;67.54;1;newextended16;gbacpp
179;0.000735696;1;53.95;1;newextended16;gbacpp
180;0.00068818;1;35.4;1;newextended16;gbacpp
181;0.000675307;1;49.56;1;newextended16;gbacpp
182;0.00062683;1;26.31;1;newextended16;gbacpp
183;0.000614245;1;38.37;1;newextended16;gbacpp
184;0.000577978;1;24.57;1;newextended16;gbacpp
185;0.000543693;1;11.48;1;newextended16;gbacpp
186;0.00051958;1;7.81;1;newextended16;gbacpp
187;0.000497526;1;5.16;1;newextended16;gbacpp
188;0.000478732;1;5.23;1;newextended16;gbacpp
189;0.000460055;1;4.52;1;newextended16;gbacpp
190;0.000442669;1;4.55;1;newextended16;gbacpp
191;0.000426595;1;5.51;1;newextended16;gbacpp
192;0.000410519;1;5.48;1;newextended16;gbacpp
193;0.000394449;1;4.69;1;newextended16;gbacpp
194;0.000379581;1;4.79;1;newextended16;gbacpp
195;0.000365207;1;4.78;1;newextended16;gbacpp
196;0.000351426;1;5.08;1;newextended16;gbacpp
197;0.00033816;1;5.17;1;newextended16;gbacpp
198;0.000324886;1;4.4;1;newextended16;gbacpp
199;0.000312568;1;4.4;1;newextended16;gbacpp
200;0.000301228;1;5.37;1;newextended16;gbacpp
1;2.68310589045142;1;0.125820875167847;1;A;gbapy
2;2.67868506280465;1;0.123204708099365;1;A;gbapy
3;2.67208485491702;1;0.119687080383301;1;A;gbapy
4;2.66225366184436;1;0.11960506439209;1;A;gbapy
5;2.64766005109169;1;0.120745897293091;1;A;gbapy
6;2.6261066256937;1;0.120758056640625;1;A;gbapy
7;2.59450996224815;1;0.12073016166687;1;A;gbapy
8;2.54868690118297;1;0.119225978851318;1;A;gbapy
9;2.48324793010481;1;0.118533849716187;1;A;gbapy
10;2.39179081057916;1;0.119807004928589;1;A;gbapy
11;2.26767921104983;1;0.11913800239563;1;A;gbapy
12;2.10567295802732;1;0.124382019042969;1;A;gbapy
13;1.90436385009772;1;0.117658853530884;1;A;gbapy
14;1.66866637020967;1;0.118652105331421;1;A;gbapy
15;1.41086102414923;1;0.11756420135498;1;A;gbapy
16;1.14879032995073;1;0.115669012069702;1;A;gbapy
17;0.901361923156085;1;0.118448734283447;1;A;gbapy
18;0.683517880102972;1;0.114725112915039;1;A;gbapy
19;0.503257012610472;1;0.117680788040161;1;A;gbapy
20;0.361668069378199;1;0.11545205116272;1;A;gbapy
21;0.255002659853892;1;0.117846965789795;1;A;gbapy
22;0.177195927504986;1;0.119512796401978;1;A;gbapy
23;0.121797488260179;1;0.121612071990967;1;A;gbapy
