condition;mu;density;Carbon_met;PSII;PSI;Cyt6bf;ATPase;Rubisco;TCA;AA_s;Ribosome;converged;run_time
43;0.07132105441820015;1.0;0.1944190600908599;1.1606129706972754;0.5646614838632269;0.4677850574576964;0.709608009229774;0.5271994027928344;0.4109364386896265;0.3275164118936659;0.538909195337724;True;1.8373329639434814
44;0.069730189933742;1.0;0.19411090432962852;1.1606869313986523;0.5648586985723931;0.4679903377685116;0.7098679914452612;0.5268523498728205;0.41075122625624033;0.3284524455850679;0.5414204601553221;True;1.8328490257263184
45;0.06813287816069279;1.0;0.19379631247619516;1.1607666060940955;0.5650537783826614;0.46819393869740955;0.7101307706899161;0.5264942022307303;0.4105578687131936;0.3294007761503195;0.5439378452746658;True;1.8306879997253418
46;0.06653175926877483;1.0;0.19347545574155356;1.1608518519903042;0.5652467662729902;0.468395858439923;0.7103961306382619;0.5261250247910308;0.41035631410519896;0.3303606394568336;0.5464604610266072;True;1.874333143234253
47;0.0649293986994035;1.0;0.19314872303305586;1.1609424742385985;0.5654375656090461;0.4685959822019727;0.7106638090737796;0.5257454288258042;0.4101470876457446;0.33133122558021416;0.5489872474914756;True;1.8417329788208008
48;0.06332827957052381;1.0;0.19281619196749505;1.1610383396338204;0.5656262985817745;0.46879437490601666;0.7109336152976834;0.5253552433222367;0.4099298794205748;0.3323117863012698;0.5515173594128947;True;1.9185972213745117
49;0.06173079583266355;1.0;0.1924781350326618;1.161139270232335;0.5658129596188355;0.46899099828932767;0.711205318914029;0.5249547885384219;0.40970489876298266;0.33330153698495474;0.5540498051113091;True;1.848140001296997
50;0.060139246209538165;1.0;0.1921347830781872;1.161245096324613;0.5659975724348932;0.4691858391349236;0.711478702745452;0.5245442825283152;0.40947224359771883;0.33429970583101687;0.5565836204916534;True;1.8733508586883545
51;0.05855582893040219;1.0;0.1917863949053772;1.1613556367311697;0.5661801499978684;0.4693788767185641;0.7117535469698736;0.5241240166887607;0.4092320876469973;0.3353055207572803;0.5591178198348019;True;1.7849111557006836
52;0.05698263726063354;1.0;0.19143328093533973;1.1614706881405719;0.5663606868538027;0.46957007664916645;0.7120296231262909;0.5236944155809868;0.4089847447135845;0.3363182045597519;0.5616513783936063;True;1.8176310062408447
53;0.0554216558282205;1.0;0.1910755684879087;1.1615901157657014;0.5665392578635391;0.46975947100369936;0.712306753069364;0.523255451131308;0.40873004454033746;0.33733703464747844;0.5641834228733306;True;1.8184900283813477
54;0.05387475772701011;1.0;0.19071355628614228;1.1617137199550687;0.5667158637812546;0.4699470330383449;0.7125847211136663;0.5228075298201523;0.4084682788439479;0.33836125813554213;0.5667129521326753;True;1.8531818389892578
55;0.05234370238628751;1.0;0.19034752307710068;1.1618413072591938;0.5668905160341088;0.4701327460096967;0.7128633214361558;0.5223510146232134;0.4081996922765477;0.3393901390987588;0.5692389902390249;True;2.0143051147460938
56;0.05083013417536875;1.0;0.1899776195047856;1.161972736272203;0.5670632760869099;0.4703166351135242;0.7131423862859775;0.5218859562303881;0.4079241957773316;0.3404229892545038;0.5717606792721486;True;2.048553943634033
57;0.049335581709574916;1.0;0.18960402043655955;1.1621078497661745;0.5672342049141788;0.4704987267407576;0.7134217466066238;0.5214124738330089;0.4076417731175372;0.34145912967133074;0.5742771562682155;True;2.189394950866699
58;0.04786145782377193;1.0;0.18922721528405628;1.1622463567603776;0.5674032495753774;0.47067895579506064;0.7137011566455788;0.5209314831351477;0.407353258748042;0.34249781191891027;0.5767873095702364;True;1.9286930561065674
59;0.04640906017582852;1.0;0.18884793346262585;1.1623879195939348;0.567570187146472;0.47085712080563014;0.7139803217919837;0.5204444906333276;0.40706012007641845;0.34353824290454316;0.5792898533998405;True;1.9508700370788574
60;0.044979572429136444;1.0;0.18846597832153728;1.1625325121610053;0.5677352534369549;0.4710333931605763;0.7142591805500021;0.5199507270988019;0.40676139393827326;0.34457988909118376;0.5817842759683713;True;1.940459966659546
61;0.043574065965964505;1.0;0.18808161521109035;1.162679947000874;0.5678984642875987;0.47120776820505994;0.7145375633381712;0.5194505690644898;0.40645734276001666;0.34562211615811317;0.5842697112871074;True;2.0526769161224365
62;0.042193502091883696;1.0;0.1876951075293959;1.162830039161973;0.5680598337276446;0.4713802405660533;0.7148153062450835;0.5189444022355718;0.40614824008290445;0.34666430892839706;0.58674531497581;True;1.9721651077270508
63;0.04083873467580845;1.0;0.18730670300355884;1.1629826109968366;0.5682193805011863;0.4715508099705732;0.7150922549138324;0.5184325834862231;0.4058343305021232;0.34770587617752347;0.5892102782047313;True;2.03363299369812
64;0.0395105131772548;1.0;0.1869166632410521;1.1631374806171615;0.5683771158332056;0.47171947124527225;0.7153682568072579;0.5179155145657746;0.4055159087218136;0.3487462425980703;0.5916638031464979;True;1.9737191200256348
65;0.03820948601190349;1.0;0.18652523232251;1.1632944745830593;0.568533055802901;0.47188622436717315;0.7156431693187867;0.5173935641071303;0.40519323640298693;0.34978485803447207;0.5941051306346392;True;1.9364569187164307
66;0.0369362042068206;1.0;0.18613264762269932;1.1634534239470071;0.56868721645679;0.47205107044437883;0.7159168569140765;0.5168670946597939;0.4048665712641534;0.3508211946653141;0.5965335315449365;True;1.8680109977722168
67;0.03569112529846046;1.0;0.18573916027932486;1.1636141549759256;0.568839607256787;0.47221400635535254;0.7161891854671294;0.516336513524126;0.40453622170029413;0.35185474084569796;0.5989482889132713;True;2.0237059593200684
68;0.034474617428677724;1.0;0.185344998005334;1.1637765057696527;0.568990243340187;0.4723750346800061;0.7164600321458987;0.5158021804099073;0.4042024481282791;0.3528850122773921;0.6013487311060084;True;2.0256872177124023
69;0.03328696359525835;1.0;0.18495038861391366;1.1639403158474133;0.5691391376149664;0.47253415723370473;0.7167292789566899;0.5152644658107014;0.40386552561516065;0.35391154488552157;0.6037342111839427;True;2.036454200744629
70;0.032128366016837925;1.0;0.1845555539407942;1.1641054289122752;0.569286302690793;0.47269137659642496;0.716996814239967;0.5147237358307345;0.403525727775905;0.35493389649505386;0.6061041123207717;True;2.0421860218048096
71;0.030998950574167888;1.0;0.1841607095579506;1.1642716929953894;0.5694317509489656;0.4728466961292911;0.7172625325982955;0.514180351360477;0.4031833260078152;0.3559516467095796;0.6084578480080012;True;1.9433300495147705
72;0.029898771292660213;1.0;0.1837660645444611;1.164438960581477;0.5695754945833237;0.47300011996667857;0.7175263348049724;0.5136346673645064;0.40283858882633033;0.3569643967176894;0.6107948621246756;True;1.925368070602417
73;0.028827814833894468;1.0;0.18337183360435633;1.164607082278987;0.5697175429771634;0.4731516508554757;0.717788124199034;0.5130870626979859;0.40249181392282757;0.35797176500875805;0.6131146174372608;True;1.917198896408081
74;0.02778600496745488;1.0;0.18297818885330386;1.1647759319434068;0.5698579132315859;0.4733012986220745;0.7180478202098403;0.5125378205852908;0.40214320005794824;0.3589734027516102;0.615416640119648;True;1.9390649795532227
75;0.02677320699505847;1.0;0.18258534457031295;1.1649453622799335;0.5699966120097869;0.47344906546580073;0.7183053340925244;0.5119873381436502;0.40179307180679613;0.3599689656655571;0.6177004405271569;True;1.9455640316009521
76;0.025789232106256815;1.0;0.18219347040612122;1.1651152506551583;0.5701336536111413;0.4735949605081595;0.7185605935033375;0.5114359113870678;0.4014416490079421;0.36095814206704785;0.6199655937068004;True;1.913633108139038
77;0.024833841642538018;1.0;0.18180272359282407;1.1652854823798697;0.5702690528373713;0.47373899399093045;0.7188135332287042;0.5108838147299234;0.4010891320141874;0.36194064199372095;0.6222117091740754;True;2.0338151454925537
78;0.02390675125249546;1.0;0.1814133043745439;1.165455919755727;0.5704028159918656;0.47388117000409025;0.7190640788554511;0.5103314376660198;0.40073584842813864;0.3629161778443073;0.6244383775610005;True;1.9890470504760742
79;0.023007634924893917;1.0;0.18102537768805826;1.1656264451555225;0.570534954578658;0.47402149746614236;0.7193121692864781;0.5097790908917506;0.4003820450314614;0.3638844901884032;0.6266452441556141;True;1.9895119667053223
80;0.02213612888474612;1.0;0.18063905793801183;1.165796970499819;0.5706654863122598;0.4741599908764285;0.7195577612513742;0.5092269685613028;0.4000278471535351;0.3648453528730842;0.6288320236100273;True;1.991731882095337
81;0.021291835340601507;1.0;0.18025450906392543;1.1659673801361796;0.5707944207318052;0.4742966587564702;0.7198007997292869;0.5086753950876015;0.39967352366210407;0.3657985380340618;0.6309984032674991;True;2.0728540420532227
82;0.02047432607860471;1.0;0.17987189530646014;1.1661375585228324;0.5709217669092913;0.47443150979221094;0.72004123214444;0.5081247031741886;0.3993193560054152;0.36674383220475515;0.6331440893045907;True;2.164752960205078
83;0.019683145895448638;1.0;0.1794913274582055;1.1663074218671683;0.5710475397410422;0.47456455781430495;0.7202790242503997;0.5075751009591681;0.398965495416408;0.36768105472803503;0.635268858479869;True;2.202194929122925
84;0.018917815863820027;1.0;0.17911290117632428;1.1664768961157455;0.5711717546500574;0.47469581753179846;0.7205141487214884;0.5070267663469178;0.398612064150199;0.36861004406437536;0.637372520784112;True;2.026686191558838
85;0.01817783642750339;1.0;0.17873678975371343;1.1666458609245174;0.5712944188595105;0.4748252975924327;0.7207465570328452;0.5064800752829932;0.39825940074711075;0.3695306239053653;0.6394548273073981;True;2.1194159984588623
86;0.017462690331757784;1.0;0.17836307907845017;1.1668142491611935;0.5714155471797597;0.47495301303601334;0.7209762289738937;0.5059351946750942;0.39790762252977496;0.37044266153100924;0.6415156316381991;True;2.091075897216797
