;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
x_lplys__L;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
x_nac;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437
x_nh3;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
x_o2;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
x_pi;12.861229281732001;12.861229281732001;12.861229281732001;12.861229281732001;12.861229281732001;12.861229281732001;12.861229281732001;12.861229281732001;12.861229281732001;12.861229281732001;12.861229281732001;12.861229281732001;12.861229281732001;12.861229281732001;12.861229281732001;12.861229281732001;12.861229281732001;12.861229281732001;12.861229281732001;12.861229281732001
x_pyr;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
x_thymd;0.024465129505000002;0.024465129505000002;0.024465129505000002;0.024465129505000002;0.024465129505000002;0.024465129505000002;0.024465129505000002;0.024465129505000002;0.024465129505000002;0.024465129505000002;0.024465129505000002;0.024465129505000002;0.024465129505000002;0.024465129505000002;0.024465129505000002;0.024465129505000002;0.024465129505000002;0.024465129505000002;0.024465129505000002;0.024465129505000002
x_ura;0.0201756492;0.0201756492;0.0201756492;0.0201756492;0.0201756492;0.0201756492;0.0201756492;0.0201756492;0.0201756492;0.0201756492;0.0201756492;0.0201756492;0.0201756492;0.0201756492;0.0201756492;0.0201756492;0.0201756492;0.0201756492;0.0201756492;0.0201756492
x_trdox;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
x_AA;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
