;rho;x_G;x_CO2;condition;mu;density;consistent;converged;run_time;G transport_q;CO2 excretion_q;AA production_q;Ribosome_q;G transport_v;CO2 excretion_v;AA production_v;Ribosome_v;G transport_p;CO2 excretion_p;AA production_p;Ribosome_p;G_b;CO2_b;AA_b;Protein_b;G_c;CO2_c;AA_c;Protein_c
10;340.0;1.734152991583262;1.0;11;0.6605586989111148;0.9999999999999998;1;1;0.0166159999999999;1.2032049340465591;0.2032049340465592;1.131593161835964;0.8440110235918674;270.2277451574578;45.63778752767879;254.14446027088687;189.55640002756397;182.84970931850668;1.037110499645638;44.8155580286274;58.26137017445524;0.0716117722105951;0.0231136983206335;0.0612635058769038;0.8440110235918674;24.348002551602335;7.858657429015412;20.82959199814732;286.9637480212349
11;340.0;1.156101994388841;1.0;12;0.5206370308841337;1.0;1;1;0.016997;1.207976574967214;0.207976574967214;1.1466999368812731;0.8635678107268836;213.83189470529527;36.81530420468981;202.9849131539825;152.86582952094514;206.34255788536808;0.8750023431377641;37.551785924828685;48.843709493806;0.0612766380859406;0.0213634124090406;0.0537921387781351;0.8635678107268836;20.834056949219818;7.263560219073814;18.289327184565952;293.6130556471404
12;340.0;0.7707346629258942;1.0;13;0.3968182697524722;0.9999999999999998;1;1;0.017985;1.212483806171684;0.2124838061716841;1.160591612951274;0.8819372240730095;163.58614686309943;28.66793514725891;156.58494495178888;118.989393117563;228.60564953756096;0.7161142024155863;30.666885966297343;39.870006478549406;0.0518921932204099;0.0196345164185706;0.0465360662880097;0.8819372240730095;17.64334569493938;6.6757355823140365;15.822262537923322;299.85865618482325
13;340.0;0.5138231086172628;1.0;14;0.2937300636318981;0.9999999999999998;1;1;0.017177;1.2166440406232426;0.2166440406232426;1.1730560320417676;0.8986832501571236;121.50407669967582;21.635855064830448;117.15101979803956;89.74989800621482;248.62104252843585;0.570531649504385;24.525087759097097;31.835643116384794;0.0435880085814748;0.0179671657851108;0.0397615754762905;0.8986832501571236;14.81992291770144;6.108836366937696;13.518935661938787;305.55230505342206
14;340.0;0.3425487390781752;1.0;15;0.2122103829267965;1.0;1;1;0.0178609999999999;1.2204194518124258;0.2204194518124258;1.1840371116426556;0.9135958587831888;88.05513092814486;15.903600733034018;85.43008941281688;65.91733919112346;265.8642054269563;0.4444605889016879;19.311554163830007;25.002371806596297;0.0363823401697702;0.0163879705161053;0.0336338305309357;0.9135958587831888;12.36999565772189;5.571909975475811;11.435502380518143;310.62259198628414
15;340.0;0.2283658260521167;1.0;16;0.1503751770936002;1.0;1;1;0.0168799999999999;1.2238050255270585;0.2238050255270585;1.1935839918792173;0.9266410633158776;62.5701651301676;11.442604918343513;61.02503741267402;47.376896759431226;280.2479468192356;0.3401183306401734;15.051990746593711;19.417905630928992;0.0302210336478412;0.0149117728487849;0.0282261301874963;0.9266410633158776;10.275151440266018;5.070002768586873;9.596884263748745;315.0579615273984
16;340.0;0.1522438840347445;1.0;17;0.1049710028900047;0.9999999999999998;1;1;0.016892;1.2268162731232313;0.2268162731232313;1.2018061682738168;0.9379020765186282;43.785245747518005;8.095104764916398;42.89263157945276;33.473857338824644;291.9778985996914;0.2567295713745917;11.66677036519418;14.985307480073557;0.0250101048494144;0.013544960531532;0.0235428581004252;0.9379020765186282;8.503435648800915;4.605286580720882;8.004571754144576;318.8867060163336
17;340.0;0.1014959226898296;1.0;18;0.0724458695548223;0.9999999999999998;1;1;0.017278;1.2294804172970253;0.2294804172970253;1.2088416314348087;0.9475292042869587;30.284064496780996;5.652468848141408;29.775698268744012;23.339156225273584;301.4055598780848;0.1918195412549985;9.026028116729618;11.536521921496618;0.0206387858622165;0.0122879089899363;0.0195441008608883;0.9475292042869587;7.0171871931536325;4.177889056578375;6.644994292702027;322.159929457566
18;340.0;0.0676639484598864;1.0;19;0.0495731526952336;0.9999999999999998;1;1;0.01771;1.231829834154568;0.2318298341545682;1.2148357066142808;0.9557026689156856;20.76233407745018;3.907462161070736;20.47590023442802;16.108246074715876;308.92108284420425;0.1422641592089752;6.989196839243323;8.886363588676671;0.0169941275402871;0.0111373071682879;0.016165896375739;0.9557026689156856;5.778003363697639;3.7866844372179127;5.49640476775128;324.9389074313332
19;340.0;0.0451092989732576;1.0;20;0.0337065548359105;0.9999999999999998;1;1;0.019164;1.2338980916398667;0.2338980916398668;1.2199288098653431;0.962608510722453;14.140754253846726;2.6805256096371566;13.980663090715296;11.031713627741372;314.8916637654267;0.1049590675460332;5.427048837894705;6.863221974766649;0.0139692817745236;0.0100876703332017;0.0133345371698215;0.962608510722453;4.749555803338028;3.429807913288609;4.533742637739337;327.28689364563405
