;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90
x_for;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
x_glc__D;0.4;0.40001000000000003;0.4001;0.401;0.4025;0.405;0.40750000000000003;0.41000000000000003;0.42500000000000004;0.45;0.47500000000000003;0.5;0.65;0.9;1.15;1.4;2.9;5.4;7.9;10.4;1.2589254117941661e-06;1.584893192461111e-06;1.995262314968875e-06;2.5118864315095717e-06;3.1622776601683665e-06;3.981071705534953e-06;5.0118723362726945e-06;6.3095734448018915e-06;7.943282347242757e-06;9.999999999999918e-06;1.258925411794156e-05;1.584893192461098e-05;1.9952623149688583e-05;2.5118864315095514e-05;3.16227766016834e-05;3.981071705534921e-05;5.011872336272653e-05;6.30957344480184e-05;7.943282347242692e-05;9.999999999999836e-05;0.00012589254117941455;0.0001584893192461085;0.00019952623149688422;0.0002511886431509531;0.0003162277660168315;0.0003981071705534888;0.0005011872336272613;0.0006309573444801788;0.0007943282347242627;0.0009999999999999755;0.0012589254117941352;0.001584893192461072;0.0019952623149688256;0.00251188643150951;0.0031622776601682888;0.0039810717055348555;0.005011872336272571;0.006309573444801736;0.007943282347242562;0.009999999999999672;0.01258925411794125;0.01584893192461059;0.019952623149688094;0.025118864315094896;0.03162277660168263;0.03981071705534823;0.0501187233627253;0.06309573444801685;0.07943282347242496;0.09999999999999591;0.12589254117941148;0.1584893192461046;0.1995262314968793;0.2511886431509469;0.31622776601682373;0.398107170553479;0.5011872336272489;0.6309573444801633;0.7943282347242432;0.9999999999999509;1.2589254117941044;1.584893192461033;1.9952623149687767;2.5118864315094487;3.162277660168211;3.9810717055347578;5.011872336272448;6.309573444801582;7.943282347242366;9.999999999999428
x_glyc;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
x_gsn;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249
x_h2o;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0
x_h;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07
x_lplys__L;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
x_nac;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437;0.0019658376437
x_nh3;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
x_o2;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
