;rho;x_C;x_PSU;condition;mu;density;consistent;converged;run_time;Carbon_T_q;PSII_q;PSI_q;Cyt6bf_q;ATPsyn_q;C_fix_q;Met_q;Ribosome_q;Carbon_T_v;PSII_v;PSI_v;Cyt6bf_v;ATPsyn_v;C_fix_v;Met_v;Ribosome_v;Carbon_T_p;PSII_p;PSI_p;Cyt6bf_p;ATPsyn_p;C_fix_p;Met_p;Ribosome_p;CO2_b;H+_b;PC_b;PC-_b;PQ_b;PQH2_b;ATP_b;NADPH_b;C3_b;A_b;Protein_b;CO2_c;H+_c;PC_c;PC-_c;PQ_c;PQH2_c;ATP_c;NADPH_c;C3_c;A_c;Protein_c
14;385.67;0.000525;635.2225911039864;15;0.1026682644370685;1.0;1;1;0.333201;0.2775933988647423;2.1912078143105225;5.060617536928531;7.1014750839264975;0.1127829546658395;0.2456703260363749;0.2339286853846829;0.2473622465651382;10.991607526804579;86.76321700396029;200.3805639351168;281.19050129839303;4.465761716489267;9.72757931498826;9.262656495166247;9.794572717910537;1.4928141092521088;40.59747482489279;9.042165121067347;0.6841915740326459;2.0607782153288654;5.2880987396706205;6.117126968880487;30.117548079652025;0.0564901054320048;0.0020559524596358;0.0389788028106963;0.3454620246736057;0.1583554922984793;0.0169411328463624;0.0118183961365977;0.0266262247982324;0.0351345091901603;0.0607751127890861;0.2473622465651382;21.786538961961327;0.7929191851077717;15.03295488000125;133.23433905586953;61.07296271475453;6.533686704856606;4.558000838001662;10.268936117934292;13.550326159369138;23.439137749366857;95.40019763277688
15;385.67;0.000525;610.7909529846022;16;0.102899520107013;1.0;1;1;0.390253;0.2773018603733568;2.192014357139765;5.062697225164006;7.104465972418216;0.1128400941815753;0.2453073023206737;0.2335949091685085;0.2483077280388271;11.004795850521456;86.99065512671494;200.91444514983985;281.94256449694814;4.478088241275866;9.73508356217482;9.270274219074544;9.854156230668554;1.4946068646414779;41.369262556200766;9.214597982863987;0.687733027711446;2.0727227666411268;5.3009289341398205;6.13875363673675;29.48623570379908;0.0565252882847503;0.002044852685402;0.038944072219615;0.345654018320963;0.158526870299676;0.0168342782715051;0.0116296465917345;0.0266818616771809;0.0350718840690161;0.0597794995413295;0.2483077280388271;21.800107932779685;0.788638335179021;15.019560332938935;133.30838524584584;61.13905806847606;6.492476100971406;4.485205801034262;10.290393593038372;13.526173528897449;23.05515958810456;95.76484147273446
16;385.67;0.000525;587.2989932544252;17;0.1030648144638431;1.0;1;1;0.3491049999999999;0.2770152593354443;2.192806956479078;5.0647419761000245;7.10741414511155;0.1128969460277949;0.2449486417667031;0.2332686028335538;0.2492440014871396;11.011081480844204;87.16189905017168;201.31846423217476;282.51265456521526;4.4875414972905885;9.736465274821718;9.272195325574614;9.907201558392254;1.4954621759155775;42.14405234820792;9.387712841719248;0.6908970377579902;2.083676499976278;5.3106490132053885;6.15714947410298;28.856334662659755;0.0565614817454114;0.002033334552902;0.0389046547609392;0.3458479816369468;0.158697982702294;0.0167265738160322;0.0114427307582857;0.0267365575309873;0.0350068992165047;0.0587978017925561;0.2492440014871396;21.814066664752847;0.7841961370177517;15.004358201651458;133.3831910779213;61.20505098879376;6.450937723629163;4.413117971548076;10.311488142975907;13.501110820829371;22.67654821733512;96.12593405354512
17;385.67;0.000525;564.7105704369474;18;0.1031635250136191;1.0;1;1;0.3943889999999999;0.2767333397514785;2.193586390034119;5.066753546426247;7.11032214266231;0.1129535443035016;0.2445941985123784;0.232949696433689;0.250171130191702;11.010410611926064;87.27638993082041;201.5913119311368;282.898932394949;4.494091329836924;9.731688134630886;9.268387437385888;9.953577943062193;1.4953727332074152;42.921453102898944;9.561422283874915;0.6936778047031718;2.09362006361248;5.3172307116129485;6.172278033784598;28.22844504733924;0.0565985610903379;0.0020214049238038;0.0388605110983668;0.3460440866533716;0.1588688917679859;0.0166180194347433;0.0112576771011728;0.026790340716959;0.0349394717220582;0.0578299052994976;0.250171130191702;21.82836705571064;0.7795952369634229;14.987333315307149;133.45882289960582;61.27096548815913;6.409071555397484;4.341748327609351;10.332230704309616;13.475106059046215;22.303259576857243;96.48349978103373
18;385.67;0.000525;542.9909331124494;19;0.1031952105676057;1.0;1;1;0.354194;0.2764324828159823;2.1944238687193303;5.0688945514024475;7.113424882912434;0.1130135442596144;0.2442422250618059;0.2326416153380659;0.2510990844492181;11.00181844523191;87.3365269869712;201.73843900131808;283.1093086035579;4.497859597144903;9.720668820886129;9.25897271073854;9.993567003170341;1.494207492905379;43.70244213532538;9.735942743504296;0.6961185200540337;2.1025386088823965;5.321278906000011;6.184521731584019;27.60433376127444;0.056614480260357;0.0020091819438964;0.0388081878497184;0.3462580729473776;0.1590459830263331;0.0165079264712133;0.0110753020766956;0.0268447534940308;0.0348647712575465;0.0568722562236132;0.2510990844492181;21.83450660201189;0.7748812003025477;14.967153808000896;133.5413509936151;61.339264273765885;6.366612002152854;4.271411751919209;10.353216080042888;13.44629633089798;21.93392305776092;96.84138389952996
19;385.67;0.000525;522.1066664542783;20;0.1031595752634952;1.0;1;1;0.359528;0.276123236037922;2.195287627521024;5.0710923357035504;7.116617327041572;0.113075307155196;0.2438935536133551;0.2323428761420363;0.2520234094990031;10.985715750123283;87.3407331152542;201.7562148772476;283.13855863453546;4.498763670125403;9.703439999217592;9.243889903970143;10.026890814624267;1.492022243746011;44.486043460081355;9.911056617549566;0.6981927153155402;2.11041660136914;5.322500993876401;6.1936737892803135;26.98396192026221;0.0566190377859023;0.0019966186656401;0.0387492834174141;0.3464828535254884;0.1592263333435499;0.0163966768581316;0.0108952304573463;0.0268991018692659;0.0347849650855224;0.0559264894927341;0.2520234094990031;21.83626430288897;0.7700359207774456;14.944436135594106;133.62804211917515;61.408819980606914;6.3237063638756235;4.20196353048475;10.37417661791979;13.415517484533444;21.56916920266278;97.19786834148054
20;385.67;0.000525;502.0256408214214;21;0.1030564990223668;1.0;1;1;0.381296;0.2758092801204109;2.19616658859164;5.073321538216294;7.1198627779333865;0.113138256580821;0.243548429696358;0.2320529192648581;0.2529425306354317;10.962260479729949;87.28839794843375;201.643223081802;282.9846418422361;4.496770515916;9.680027171656777;9.223128913401872;10.053403228553934;1.4888384362898772;45.271649728244086;10.086628249162318;0.699888949921302;2.1172411112097382;5.320789703845306;6.199652602743088;26.367657008751245;0.0566156933936887;0.0019837029703456;0.0386843782807604;0.3467159323793715;0.1594089036475399;0.0162844234397909;0.0107173371409265;0.0269531479341021;0.0347008023579857;0.0549931478200558;0.2529425306354317;21.834974471143926;0.7650547245732087;14.919404171540876;133.71793364075225;61.47923186974672;6.280413588024185;4.13335541514115;10.39502056374517;13.383058445404355;21.20920731976095;97.55234579016695
21;385.67;0.000525;482.7169623282898;22;0.1028860382300999;1.0;1;1;0.48858;0.2754895611181348;2.1970639462441324;5.075589398686336;7.123171625612804;0.1132025494188783;0.2432067685348313;0.2317718861751997;0.2538568789764606;10.931441863896165;87.17962561685259;201.39968357260207;282.6478658425484;4.491883767917628;9.650458770031236;9.196721970613261;10.073055773940292;1.4846546043721085;46.058926924442666;10.262582657133745;0.7012064091771076;2.1230019711695807;5.316171367915293;6.202467074463458;25.75597150617765;0.0566034694367865;0.0019704457621323;0.0386133667705079;0.3469579628551331;0.1595939360641223;0.0161711796354082;0.0105416573792572;0.0270069612513617;0.0346120709771516;0.0540720708916772;0.2538568789764606;21.83026005768548;0.7599418170815974;14.89201716238181;133.8112775343392;61.550593321850045;6.236738849987905;4.065601001458131;10.415774745812705;13.34883741375806;20.853975580793175;97.9049825148516
22;385.67;0.000525;464.1509253156632;23;0.1026484172727057;1.0;1;1;0.4022399999999999;0.2751718469713634;2.1979562860004886;5.077842428983015;7.12646655390312;0.113266972717491;0.2428689740821452;0.2314984953101833;0.254763112948568;10.893617298864443;87.01360579890476;201.02373383798172;282.12551605781454;4.484059931878406;9.614797758340638;9.164658524949123;10.085667864917502;1.4795192872259268;46.84698556617481;10.43872159657764;0.7021271144370815;2.1276901257515126;5.308438000822286;6.201975654663583;25.14903242522143;0.0565897702974327;0.0019568185415499;0.0385374169610015;0.3472037361084385;0.1597793087704957;0.0160571941095435;0.0103679468935905;0.0270600508202137;0.0345203283029802;0.0531643162461856;0.254763112948568;21.82497671061088;0.7546862069195611;14.862725599349467;133.9060649049415;61.62208601351709;6.1927780522276565;3.998606078451069;10.436249799831822;13.3134550166104;20.50388184666644;98.25448977087424
23;385.67;0.000525;446.2989666496762;24;0.1023440388684733;1.0;1;1;0.4655569999999999;0.2748575636775106;2.198839313075845;5.080070806516802;7.129733321336114;0.1133312960678107;0.2425350160743965;0.231232413670672;0.2556605809321756;10.848909896648244;86.79044253174257;200.51560419548107;281.4178855236467;4.473302473686467;9.573105796937377;9.126980489578122;10.09118530175222;1.4734492027201143;47.63530699695925;10.614929142766266;0.7026471169226683;2.1312995417865954;5.297559294776043;6.198156430733905;24.54726852144736;0.0565760492105538;0.0019428234070673;0.0384567735163541;0.3474522658567966;0.1599646146325734;0.0159425304134939;0.0101961746641294;0.0271123365779145;0.0344258437707916;0.0522700070181491;0.2556605809321756;21.81968489903429;0.7492887034036481;14.831623842052297;134.00191537299077;61.69355292534463;6.148555704572199;3.93235868271481;10.456414848004316;13.2770151670812;20.15897360668957;98.60061624811219
24;385.67;0.000525;429.1336217785348;25;0.1019734817938547;1.0;1;1;0.462156;0.2745436690766794;2.199722210775781;5.082295465365095;7.133002087911875;0.1133959822174555;0.2422046340871993;0.2309740410490088;0.2565505469253232;10.797284364953343;86.51092306563567;199.87708895568585;280.5275101699022;4.459649971032831;9.525451151519935;9.083773122562944;10.089648828738255;1.4664395533566184;48.42365564627463;10.79115213470723;0.7027725387590836;2.13382726000376;5.283635424585417;6.191075440333485;23.95129143466921;0.0565594983982;0.0019284828771788;0.038371049173131;0.3477055218306075;0.1601506366753595;0.0158271401867029;0.0100264476922813;0.0271640208968405;0.0343279971430913;0.0513886582012826;0.2565505469253232;21.8133017472338;0.7437579912415573;14.798562534601457;134.09958860441043;61.76529604658592;6.104053155805726;3.86690008148216;10.47634793928449;13.239278658176048;19.819063808488664;98.9438494326894
25;385.67;0.000525;412.6284824793603;26;0.101537495408997;1.0;1;1;0.3688379999999999;0.274228030201232;2.2006114225371207;5.084531078470683;7.136293951980887;0.1134613526660597;0.2418776507139175;0.2307236563548579;0.2574338948466146;10.738760298996304;86.17586816532966;199.11006341848608;279.45702748644646;4.443142696195565;9.471920542896578;9.035130504655768;10.081102531955516;1.4584929963078896;49.211747697212175;10.967326657141626;0.7025085215483539;2.13527269595688;5.266750148733067;6.180790478987712;23.361641029606176;0.0565381445587062;0.0019138153044915;0.0382800012993556;0.3479648562431965;0.1603379053108568;0.0157110084921128;0.0098588385566242;0.027215245431268;0.0342263599945453;0.0505199299622277;0.2574338948466146;21.805066211956238;0.7381011484832584;14.763448101122476;134.1996061073136;61.83751994123818;6.059264645153152;3.8022582661332818;10.496103705477152;13.200080259096316;19.484021388532376;99.28453022549384
26;385.67;0.000525;396.7581562301542;27;0.1010370414228088;1.0;1;1;0.4602539999999999;0.2738505671750523;2.20168824280833;5.087191142158654;7.140205566424033;0.113536735553716;0.2415516380290322;0.2304916656244676;0.2583365319581668;10.671122937476852;85.79308836701004;198.23235220731624;278.2320744636699;4.424180952084864;9.41253199416975;8.981558538713044;10.066588213435526;1.44930870702531;50.00320630878153;11.144254775375924;0.7019775595141835;2.1356484336731727;5.248609600339215;6.1684126502685634;22.781232245328304;0.0564540929489232;0.0018990849666909;0.0381753342402451;0.3482698128897929;0.1605422513997121;0.0155928080249543;0.0096951051118404;0.0272697462389115;0.0341091389670114;0.0496560932537508;0.2583365319581668;21.772650027611245;0.7324200991036806;14.72308115643533;134.31721873720647;61.91633009732698;6.013678270984137;3.7391111884835215;10.517123031961013;13.154871625407308;19.150865485174087;99.63265028030621
27;385.67;0.000525;381.498227144379;28;0.100473095473632;1.0;1;1;0.3675689999999999;0.2735520196188383;2.202528019457283;5.0893069863162195;7.143338790011147;0.1136002467787274;0.2412322205921814;0.2302535738212903;0.2591977077092637;10.599992695088236;85.34676859452647;197.20789103725696;276.8005116473435;4.401948074419577;9.34761797650038;8.92220135652604;10.04377087813174;1.4396500726433872;50.78818988494668;11.319753841944332;0.7008988787003828;2.134932972295552;5.225335097543468;6.151436844226804;22.204582339931154;0.056443021085875;0.0018837015105297;0.0380767634452539;0.3485274774230937;0.1607264194917894;0.015475822064793;0.0095311245490863;0.0273187801424885;0.0340040041530202;0.0488151784248057;0.2591977077092637;21.768379942189412;0.7264871615659906;14.685065357931071;134.4165922177646;61.98735820539844;5.968560295728729;3.675868804846127;10.536033937553576;13.114324281695303;18.82654986309483;99.9647799322317
28;385.67;0.000525;366.8252184080567;29;0.0998470140889555;1.0;1;1;0.458799;0.2731776248327998;2.203597756112033;5.09194375804325;7.14723061257812;0.1136759333352861;0.2409134628864103;0.2300364721530111;0.2600842606777222;10.519523409859332;84.85613781700452;196.08055966226289;275.2255415892738;4.377432604848432;9.277095128618253;8.858243992040546;10.01532417016152;1.4287230325019524;51.57676373984265;11.49605370077542;0.6995863882909376;2.133161575613544;5.201289232515281;6.132697364880562;21.638421781156772;0.0563555082350304;0.0018683279127357;0.0379628916581342;0.3488397404399767;0.1609312032726062;0.0153566172163563;0.0093713821316703;0.0273719408284614;0.0338806379487003;0.0479774896786056;0.2600842606777222;21.734628861004207;0.7205580261047971;14.641148425792643;134.53702269548583;62.06633716614605;5.92258656183217;3.6142609467213105;10.556536419312723;13.066745637675256;18.503478444347824;100.30669681557714
29;385.67;0.000525;352.716556161593;30;0.0991601230276013;1.0;1;1;0.458409;0.2728177136624269;2.2046248802768105;5.094479754465165;7.150983744619217;0.113749740770742;0.2405986875415099;0.2298243898839056;0.2609571235043456;10.43339091708103;84.31165591363423;194.82862048781385;273.4756766623382;4.350140964989804;9.201235973860909;8.789193596517803;9.97980536368964;1.417026851993624;52.362389107976576;11.671704026935103;0.6978633204222151;2.1303258587364646;5.174002830944904;6.110610945557292;21.07941087935485;0.0562788948750679;0.0018525942809863;0.0378463356870613;0.3491470047686107;0.1611327311366357;0.015237259285509;0.0092132727115433;0.0274236436733808;0.0337567366459949;0.0471544034308636;0.2609571235043456;21.70508138646747;0.7144900363479927;14.596196284428935;134.6555253291101;62.144060417466314;5.876553788642259;3.553282886660912;10.5764766555128;13.018960622260856;18.186038771181188;100.643333821921
