condition;iter;t;dt;mu;doubling_time;density;consistent;mu_diff
70;13300;0.00932524;7.84638e-11;0.360106;2.25368;1;1;0
70;13400;0.00932526;1.56928e-10;0.360106;2.25368;1;1;0
70;13500;0.00932527;6.2771e-11;0.360106;2.25368;1;1;0
70;13600;0.00932528;1.25542e-10;0.360106;2.25368;1;1;0
70;13700;0.0093253;2.51084e-10;0.360106;2.25368;1;1;0
70;13800;0.00932531;1.00434e-10;0.360106;2.25368;1;1;0
70;13900;0.00932533;2.00867e-10;0.360106;2.25368;1;1;0
70;14000;0.00932536;4.01735e-10;0.360106;2.25368;1;1;0
70;14100;0.00932538;8.03469e-11;0.360106;2.25368;1;1;0
70;14200;0.00932539;1.60694e-10;0.360106;2.25368;1;1;0
70;14300;0.0093254;6.42775e-11;0.360106;2.25368;1;1;0
70;14400;0.00932541;1.28555e-10;0.360106;2.25368;1;1;0
70;14500;0.00932544;2.5711e-10;0.360106;2.25368;1;1;0
70;14600;0.00932546;1.02844e-10;0.360106;2.25368;1;1;0
70;14700;0.00932548;2.05688e-10;0.360106;2.25368;1;1;0
70;14800;0.00932549;8.22752e-11;0.360106;2.25368;1;1;0
70;14900;0.00932551;1.6455e-10;0.360106;2.25368;1;1;0
70;15000;0.00932553;3.29101e-10;0.360106;2.25368;1;1;0
70;15100;0.00932556;1.3164e-10;0.360106;2.25368;1;1;0
70;15200;0.00932558;2.63281e-10;0.360106;2.25368;1;1;0
70;15300;0.0093256;1.05312e-10;0.360106;2.25368;1;1;0
70;15400;0.00932561;2.10625e-10;0.360106;2.25368;1;1;0
70;15500;0.00932563;8.42498e-11;0.360106;2.25368;1;1;0
70;15600;0.00932564;1.685e-10;0.360106;2.25368;1;1;0
70;15700;0.00932566;3.36999e-10;0.360106;2.25368;1;1;0
70;15800;0.00932569;6.73999e-11;0.360106;2.25368;1;1;0
70;15900;0.0093257;1.348e-10;0.360106;2.25368;1;1;0
70;16000;0.00932571;2.69599e-10;0.360106;2.25368;1;1;0
70;16100;0.00932574;1.0784e-10;0.360106;2.25368;1;1;0
70;16200;0.00932575;2.1568e-10;0.360106;2.25368;1;1;0
